state,state_abbr,state_postal,early_in_person,vote_by_mail,no_excuse_absentee,eip_open,eip_close,eip_note,request_deadline,vbm_mailed,vbm_note,abs_mailed,registration_deadline,registration_note,general_election,sos_phone,sos_website
North Carolina,N.C.,NC,y,n,y,10/18/2012,11/3/2012,,10/30/2012,,,9/6/2012,11/3/2012,"Oct. 12 by mail. Citizens also can register in person and vote early during the ""one-stop"" voting period from Oct.18 - Nov. 3.",11/6/2012,(919) 733-7173,http://www.ncsbe.gov/content.aspx?id=132&s=132
Indiana,Ind.,IN,y,n,n,10/9/2012,11/5/2012,,10/29/2012,,,9/17/2012,10/9/2012,,11/6/2012,(317) 232-6531,http://www.in.gov/sos/elections/
Kentucky,Ky.,KY,n,n,n,,,,10/30/2012,,,9/17/2012,10/9/2012,,11/6/2012,(502) 573-7100,http://elect.ky.gov/Pages/default.aspx
Wisconsin,Wis.,WI,y,n,y,10/22/2012,11/2/2012,,11/1/2012,,,9/20/2012,11/6/2012,Oct. 17 by mail; Nov. 6 in person,11/6/2012,(608) 266-8005,http://gab.wi.gov/elections-voting/voters
Arkansas,Ark.,AR,y,n,y,10/22/2012,11/5/2012,,10/30/2012,,,9/21/2012,10/9/2012,,11/6/2012,(501) 682-5070,http://www.sos.arkansas.gov/elections/Pages/voterResources.aspx
Georgia,Ga.,GA,y,n,y,10/15/2012,11/2/2012,,11/2/2012,,,9/21/2012,10/9/2012,,11/6/2012,(404) 656-2871,http://www.sos.ga.gov/elections/
Idaho,Idaho,ID,y,n,y,9/21/2012,11/2/2012,,10/31/2012,,,9/21/2012,11/6/2012,Oct. 12 by mail; Nov. 6 in person,11/6/2012,(208) 334-2852,http://www.sos.idaho.gov/elect/eleindex.htm
Maryland,Md.,MD,y,n,y,10/27/2012,11/1/2012,,10/30/2012,,,9/21/2012,10/16/2012,,11/6/2012,(410) 269-2840,http://www.elections.state.md.us/
Minnesota,Minn.,MN,n,n,n,,,,11/5/2012,,,9/21/2012,11/6/2012,Oct. 16 by mail; Nov. 6 in person,11/6/2012,(651) 201-1339,http://www.sos.state.mn.us/index.aspx?page=134
Oklahoma,Okla.,OK,y,n,y,11/2/2012,11/5/2012,,10/31/2012,,,9/21/2012,10/12/2012,,11/6/2012,(405) 521-2391,http://www.ok.gov/elections/Absentee_Voting/index.html
